name,f1_score,roc_auc_score,total_actives,predicted_actives,version,f1,roc_auc,accuracy
geranylgeranyl_transferase_type_1_subunit_beta,0.8888888888888891,0.9,5,4,py35,0.8000000000000002,0.9024096385542172,0.9883040935672516
atp_sensitive_inward_rectifier_potassium_channel_11,0.8888888888888891,0.9,25,20,py35,0.8695652173913043,0.9489621489621493,0.9928909952606636
nad_dependent_protein_deacetylase_sirtuin_3_mitochondrial,0.8888888888888891,0.9983333333333334,4,5,py27,0.6666666666666666,1.0,0.986842105263158
kallikrein_1,0.8888888888888891,0.9,10,8,py27,0.7058823529411764,0.8406542056074768,0.9885844748858448
lysophosphatidic_acid_receptor_2,0.8888888888888891,0.9,5,4,py35,0.8000000000000002,0.8410596026490067,0.9871794871794872
voltage_dependent_l_type_calcium_channel_subunit_alpha_1s,0.8888888888888891,0.9,5,4,py35,0.7499999999999999,1.0,0.9932432432432432
mitogen_activated_protein_kinase_11,0.8888888888888891,0.9977876106194692,4,5,py27,0.5,0.9811946902654868,0.9739130434782608
cytochrome_p450_2a6,0.8888888888888891,0.9977876106194692,4,5,py27,0.7272727272727273,0.9944690265486724,0.9869565217391304
lysine_specific_demethylase_4b,0.8888888888888891,0.9,5,4,py35,0.6666666666666665,0.9807086614173228,0.9884169884169884
bromodomain_containing_protein_9,0.8888888888888891,0.9983333333333334,4,5,py27,0.6666666666666666,1.0,0.986842105263158
matrix_metalloproteinase_16,0.8888888888888891,0.9977876106194692,4,5,py27,0.8,1.0,0.991304347826087
transmembrane_prolyl_4_hydroxylase,0.8888888888888891,0.9,5,4,py35,0.8000000000000002,0.9880794701986756,0.9871794871794872
lysine_specific_demethylase_5c,0.8888888888888888,0.9431656720659278,9,9,py35,0.8421052631578948,0.9407502131287296,0.9925
5_hydroxytryptamine_receptor_1f,0.8888888888888888,0.9429361488185016,18,18,py35,0.8823529411764706,0.9978213507625272,0.9941262848751836
malonyl_coa_decarboxylase_mitochondrial,0.8857142857142858,0.8974358974358974,39,31,py27,0.8767123287671232,0.9982408098912952,0.9943181818181818
melanocortin_receptor_5,0.88,0.8928571428571428,14,11,py35,0.7999999999999999,0.9952274896595608,0.9870410367170628
