model_name,f1,roc_auc,accuracy
c_c_chemokine_receptor_type_5,0.96137339055794,0.9961673889490792,0.9979437971213159
c_c_chemokine_receptor_type_8,0.8750000000000001,0.9983611930514584,0.9942528735632185
c_c_chemokine_receptor_type_9,1.0,1.0,1.0
c_c_motif_chemokine_5,1.0,1.0,1.0
c_x_c_chemokine_receptor_type_1,0.9142857142857144,0.9683388157894736,0.9954476479514416
c_x_c_chemokine_receptor_type_2,0.975,0.9991718521229868,0.9985775248933144
c_x_c_chemokine_receptor_type_3,0.9784172661870504,0.9994324245957568,0.9987255734919286
c_x_c_chemokine_receptor_type_4,0.9090909090909092,0.9967197750702904,0.9933774834437086
d1a_dopamine_receptor,0.9684210526315791,0.9977003083677416,0.9980744544287548
d1b_dopamine_receptor,0.9714285714285714,0.9901122842299312,0.998531571218796
d2_dopamine_receptor,0.9065817409766452,0.9961066204832368,0.9948640130734212
d3_dopamine_receptor,0.972796517954298,0.9993252012688532,0.9985537429133404
d4_dopamine_receptor,0.9477911646586344,0.9997283993728494,0.9972003876386346
dctp_pyrophosphatase_1,0.9333333333333332,0.8915624999999999,0.9951923076923076
delta_type_opioid_receptor,0.9596412556053812,0.9997882431932238,0.997520888807272
deoxycytidine_kinase,1.0,1.0,1.0
deoxyuridine_5_triphosphate_nucleotidohydrolase_mitochondrial,0.967741935483871,0.9999261720191952,0.9978563772775992
diacylglycerol_o_acyltransferase_1,0.9575289575289576,0.9953867315627976,0.9975512021371328
diacylglycerol_o_acyltransferase_2,1.0,1.0,1.0
dihydrofolate_reductase,0.9441624365482232,0.9917434578186268,0.9970744680851064
dihydroorotate_dehydrogenase_quinone_mitochondrial,0.9633507853403142,0.9943558628474672,0.9977265345891524
dipeptidase_1,0.8333333333333334,0.9131455399061034,0.9864864864864864
dipeptidyl_peptidase_1,0.9825783972125436,0.9988352720222948,0.9989426940156482
dipeptidyl_peptidase_2,0.9382716049382716,0.9961990950226244,0.9971247843588268
dipeptidyl_peptidase_4,0.981132075471698,0.9984698588912264,0.9989513697732336
dipeptidyl_peptidase_8,0.9538461538461538,0.999366682700016,0.9970631424375918
dipeptidyl_peptidase_9,0.9069767441860463,0.9979371378180902,0.9948519948519948
discoidin_domain_containing_receptor_2,0.75,0.7510729613733905,0.9915611814345991
disintegrin_and_metalloproteinase_domain_containing_protein_10,0.9824561403508772,0.9991861917559332,0.998936170212766
disintegrin_and_metalloproteinase_domain_containing_protein_17,0.9748953974895398,0.999947206680316,0.9986315429353404
disintegrin_and_metalloproteinase_domain_containing_protein_8,1.0,1.0,1.0
disintegrin_and_metalloproteinase_domain_containing_protein_9,0.9090909090909092,1.0,0.9941520467836256
dna_cytosine_5_methyltransferase_1,0.5,0.921940928270042,0.975609756097561
dna_cytosine_5_methyltransferase_3b,1.0,1.0,1.0
dna_dependent_protein_kinase_catalytic_subunit,0.9295774647887324,0.9954297211842484,0.9951409135082604
dna_directed_rna_polymerase_i_subunit_rpa1,1.0,1.0,1.0
dna_polymerase_alpha_catalytic_subunit,0.5,0.7286821705426357,0.9775280898876404
dna_repair_protein_complementing_xp_g_cells,1.0,1.0,1.0
dna_topoisomerase_1,0.9696969696969696,0.999910698338989,0.9980970504281635
dna_topoisomerase_2_alpha,0.5,0.9213615023474178,0.972972972972973
dual_3_5_cyclic_amp_and_gmp_phosphodiesterase_11a,0.8888888888888888,0.9865034526051476,0.9944903581267218
dual_specificity_mitogen_activated_protein_kinase_kinase_1,0.9411764705882352,0.9998183828174352,0.9969192852741836
dual_specificity_protein_kinase_clk1,0.8888888888888891,0.999122807017544,0.9965397923875432
dual_specificity_protein_kinase_clk4,0.4444444444444445,0.9735099337748344,0.9679487179487181
dual_specificity_protein_kinase_ttk,0.9487179487179488,0.9992611683848796,0.9973244147157192
dual_specificity_protein_phosphatase_3,0.5714285714285715,0.9655629139072848,0.9807692307692308
dual_specificity_tyrosine_phosphorylation_regulated_kinase_1a,0.923076923076923,1.0,0.9975903614457832
dual_specificity_tyrosine_phosphorylation_regulated_kinase_1b,0.9473684210526316,1.0,0.9975
d_amino_acid_oxidase,0.9846153846153848,1.0,0.9989189189189188
